File_name,flash percent,flash,ram,Code,RO_data,RW_data,ZI_data
_printf_char_common.o,0.050218%,48,0,48,0,0,0
system_stm32g4xx.o,0.050218%,48,4,20,24,4,0
_printf_wchar.o,0.046033%,44,0,44,0,0,0
_printf_char.o,0.046033%,44,0,44,0,0,0
__2sprintf.o,0.046033%,44,0,44,0,0,0
_printf_charcount.o,0.041848%,40,0,40,0,0,0
_printf_truncate.o,0.037664%,36,0,36,0,0,0
libinit2.o,0.035571%,34,0,34,0,0,0
dunder.o,0.033479%,32,0,32,0,0,0
__scatter_zi.o,0.029294%,28,0,28,0,0,0
_rserrno.o,0.023017%,22,0,22,0,0,0
exit.o,0.018832%,18,0,18,0,0,0
rt_ctype_table.o,0.016739%,16,0,16,0,0,0
aeabi_memset.o,0.016739%,16,0,16,0,0,0
_snputc.o,0.016739%,16,0,16,0,0,0
__printf_wp.o,0.014647%,14,0,14,0,0,0
dretinf.o,0.012555%,12,0,12,0,0,0
sys_exit.o,0.012555%,12,0,12,0,0,0
__rtentry2.o,0.012555%,12,0,12,0,0,0
fretinf.o,0.010462%,10,0,10,0,0,0
fpinit.o,0.010462%,10,0,10,0,0,0
rtexit2.o,0.010462%,10,0,10,0,0,0
_sputc.o,0.010462%,10,0,10,0,0,0
_printf_ll.o,0.010462%,10,0,10,0,0,0
_printf_l.o,0.010462%,10,0,10,0,0,0
rt_locale_intlibspace.o,0.008370%,8,0,8,0,0,0
rt_errno_addr_intlibspace.o,0.008370%,8,0,8,0,0,0
libspace.o,0.008370%,8,96,8,0,0,96
__main.o,0.008370%,8,0,8,0,0,0
heapauxi.o,0.006277%,6,0,6,0,0,0
_printf_x.o,0.006277%,6,0,6,0,0,0
_printf_u.o,0.006277%,6,0,6,0,0,0
_printf_s.o,0.006277%,6,0,6,0,0,0
_printf_p.o,0.006277%,6,0,6,0,0,0
_printf_o.o,0.006277%,6,0,6,0,0,0
_printf_n.o,0.006277%,6,0,6,0,0,0
_printf_ls.o,0.006277%,6,0,6,0,0,0
_printf_llx.o,0.006277%,6,0,6,0,0,0
_printf_llu.o,0.006277%,6,0,6,0,0,0
_printf_llo.o,0.006277%,6,0,6,0,0,0
_printf_lli.o,0.006277%,6,0,6,0,0,0
_printf_lld.o,0.006277%,6,0,6,0,0,0
_printf_lc.o,0.006277%,6,0,6,0,0,0
_printf_i.o,0.006277%,6,0,6,0,0,0
_printf_g.o,0.006277%,6,0,6,0,0,0
_printf_f.o,0.006277%,6,0,6,0,0,0
_printf_e.o,0.006277%,6,0,6,0,0,0
_printf_d.o,0.006277%,6,0,6,0,0,0
_printf_c.o,0.006277%,6,0,6,0,0,0
_printf_a.o,0.006277%,6,0,6,0,0,0
__rtentry4.o,0.006277%,6,0,6,0,0,0
printf2.o,0.004185%,4,0,4,0,0,0
printf1.o,0.004185%,4,0,4,0,0,0
_printf_percent_end.o,0.004185%,4,0,4,0,0,0
use_no_semi.o,0.002092%,2,0,2,0,0,0
rtexit.o,0.002092%,2,0,2,0,0,0
libshutdown2.o,0.002092%,2,0,2,0,0,0
libshutdown.o,0.002092%,2,0,2,0,0,0
libinit.o,0.002092%,2,0,2,0,0,0
bsp.o,0.002092%,2,0,2,0,0,0
